"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.047";"Угроза нарушения работоспособности грид-системы при нетипичной сетевой нагрузке";"Грид-система, сетевой трафик";"Вне области анализа ПО";"Вне области ПО";"Грид-системы и суперкомпьютеры";"";"Причина — зависимость распределённой грид-системы от нагрузки каналов связи и состояния её узлов.";"Причина — зависимость распределённой грид-системы от нагрузки каналов связи и состояния её узлов.";"";"Угроза заключается в возможности значительного снижения производительности грид-системы, вплоть до временного нарушения её работоспособности при появлении нетипичной сетевой нагрузки (в т.ч. вызванной распределённой DoS-атакой, активностью других пользователей в сети и др.).
Данная угроза обусловлена слабостью технологий грид-вычислений – производительность грид-системы имеет сильную зависимость от загруженности каналов связи, что является следствием максимальной территориальной распределённости вычислительного модуля грид-системы среди всех типов информационных систем.
Реализация данной угрозы возможна при условии недостаточного контроля за состоянием отдельных узлов грид-системы со стороны диспетчера задач грид-системы";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 49"
"УБИ.054";"Угроза недобросовестного исполнения обязательств поставщиками облачных услуг";"Информационная система, сервер, носитель информации, метаданные, объекты файловой системы";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Сценарий обусловлен действиями сотрудников и управлением обязательствами облачного поставщика, а не свойствами ПО.";"Сценарий обусловлен действиями сотрудников и управлением обязательствами облачного поставщика, а не свойствами ПО.";"";"Угроза заключается в возможности раскрытия или повреждения целостности поставщиком облачных услуг защищаемой информации потребителей облачных услуг, невыполнения требований к уровню качества (уровню доступности) предоставляемых потребителям облачных услуг доступа к их программам или иммигрированным в облако информационным системам.
Данная угроза обусловлена невозможностью непосредственного контроля над действиями сотрудников поставщика облачных услуг со стороны их потребителей.
Реализация данной угрозы возможна в случаях халатности со стороны сотрудников поставщика облачных услуг, недостаточности должностных и иных инструкций данных сотрудников, недостаточности мер по менеджменту и обеспечению безопасности облачных услуг и т.д.";"Внешний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 56"
"УБИ.056";"Угроза некачественного переноса инфраструктуры в облако";"Информационная система, иммигрированная в облако, облачная система";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Сценарий относится к проектированию и выполнению миграции инфраструктуры и согласованию политик безопасности.";"Сценарий относится к проектированию и выполнению миграции инфраструктуры и согласованию политик безопасности.";"";"Угроза заключается в возможности снижения реального уровня защищённости иммигрирующей в облако информационной системы из-за ошибок, допущенных при миграции в ходе преобразования её реальной инфраструктуры в облачную.
Данная угроза обусловлена тем, что преобразование даже части инфраструктуры информационной системы в облачную зачастую требует проведения серьёзных изменений в такой инфраструктуре (например, в политиках безопасности и организации сетевого обмена данными).
Реализация данной угрозы возможна в случае несовместимости программных и сетевых интерфейсов или несоответствий политик безопасности при осуществлении переноса информационной системы в облако";"Внешний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 58"
"УБИ.064";"Угроза некорректной реализации политики лицензирования в облаке";"Системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Отказ SaaS связан с политиками и управлением лицензированием у облачного поставщика; программная ошибка проверки лицензии в описании не задана.";"Отказ SaaS связан с политиками и управлением лицензированием у облачного поставщика; программная ошибка проверки лицензии в описании не задана.";"";"Угроза заключается в возможности отказа потребителям облачных услуг в удалённом доступе к арендуемому программному обеспечению (т.е. происходит потеря доступности облачной услуги SaaS) по вине поставщика облачных услуг.
Данная угроза обусловлена недостаточностью проработки вопроса управления политиками лицензирования использования программного обеспечения различных производителей в облаке.
Реализация данной угрозы возможна при условии, что политика лицензирования использования программного обеспечения основана на ограничении количества его установок или числа его пользователей, а созданные виртуальные машины с лицензируемым программным обеспечением использованы много раз";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 66"
"УБИ.065";"Угроза неопределённости в распределении ответственности между ролями в облаке";"Системное программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Несмотря на объект «системное программное обеспечение», механизм — неопределённость прав и обязанностей участников облачных услуг.";"Несмотря на объект «системное программное обеспечение», механизм — неопределённость прав и обязанностей участников облачных услуг.";"";"Угроза заключается в возможности возникновения существенных разногласий между поставщиком и потребителем облачных услуг по вопросам, связанным с определением их прав и обязанностей в части обеспечения информационной безопасности.
Данная угроза обусловлена отсутствием достаточного набора мер контроля за распределением ответственности между различными ролями в части владения данными, контроля доступа, поддержки облачной инфраструктуры и т. п.
Возможность реализации данной угрозы повышается в случае использования облачных услуг, предоставляемых другими поставщиками (т.е. в случае использования схемы оказания облачных услуг с участием посредников)";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 67"
"УБИ.066";"Угроза неопределённости ответственности за обеспечение безопасности облака";"Облачная система";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Причина — отсутствие документального распределения ответственности за защиту облака между организациями.";"Причина — отсутствие документального распределения ответственности за защиту облака между организациями.";"";"Угроза заключается в возможности невыполнения ряда мер по защите информации как поставщиком облачных услуг, так и их потребителем.
Данная угроза обусловлена отсутствием чёткого разделения ответственности в части обеспечения безопасности информации между потребителем и поставщиком облачных услуг.
Реализация данной угрозы возможна при условии недостаточности документального разделения сфер ответственности между сторонами участвующими в оказании облачных услуг, а также отсутствия документального определения ответственности за несоблюдение требований безопасности";"Внешний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 68"
"УБИ.067";"Угроза неправомерного ознакомления с защищаемой информацией";"Аппаратное обеспечение, носители информации, объекты файловой системы";"Вне области анализа ПО";"Вне области ПО";"Физический доступ и каналы утечки";"";"В описании конкретизированы просмотр чужого экрана, чтение распечаток и подслушивание. Упоминание средств контроля доступа не выделяет самостоятельного программного способа воздействия, поэтому при строгой границе ПО запись исключена.";"В описании конкретизированы просмотр чужого экрана, чтение распечаток и подслушивание. Упоминание средств контроля доступа не выделяет самостоятельного программного способа воздействия, поэтому при строгой границе ПО запись исключена.";"";"Угроза заключается в возможности неправомерного случайного или преднамеренного ознакомления пользователя с информацией, которая для него не предназначена, и дальнейшего её использования для достижения своих или заданных ему другими лицами (организациями) деструктивных целей.
Данная угроза обусловлена уязвимостями средств контроля доступа, ошибками в параметрах конфигурации данных средств или отсутствием указанных средств.
Реализация данной угрозы не подразумевает установку и использование нарушителем специального вредоносного программного обеспечения. При этом ознакомление может быть проведено путём просмотра информации с экранов мониторов других пользователей, с отпечатанных документов, путём подслушивания разговоров и др.";"Внутренний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 69"
"УБИ.070";"Угроза непрерывной модернизации облачной инфраструктуры";"Облачная инфраструктура";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Сценарий описывает непрерывную модернизацию облачной инфраструктуры и несвоевременную оценку безопасности при отсутствии менеджмента.";"Сценарий описывает непрерывную модернизацию облачной инфраструктуры и несвоевременную оценку безопасности при отсутствии менеджмента.";"";"Угроза заключается в возможности занесения в облачную систему уязвимостей и слабостей вместе с добавлением нового программного или аппаратного обеспечения. При этом система, рассматриваемая как защищённая на этапе ввода её в эксплуатацию, уже не может считаться таковой после её модернизации.
Данная угроза обусловлена тем, что, во-первых, поставщики облачных услуг предоставляют возможность осуществления потребителем облачных услуг выбора и (или) изменения первоначального состава программного обеспечения облачной инфраструктуры в процессе оказания таких услуг, а, во-вторых, при интенсивном подключении новых потребителей модернизация облачной инфраструктуры может проходить несколько раз в год.
Реализация данной угрозы возможна в случае, если срок до следующей модернизации не превышает срока проведения оценки соответствия системы требованиям безопасности в условиях отсутствия системы менеджмента облачных услуг и обеспечения их безопасности (системы облачного менеджмента)";"Внутренний нарушитель со средним потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 72"
"УБИ.078";"Угроза несанкционированного доступа к защищаемым виртуальным машинам из виртуальной и (или) физической сети";"Виртуальная машина";"Вне области анализа ПО";"Вне области ПО";"Сетевая инфраструктура";"";"Сценарий описывает сетевую достижимость развёрнутой виртуальной машины; конкретная программная уязвимость или механизм защиты продукта не указан.";"Сценарий описывает сетевую достижимость развёрнутой виртуальной машины; конкретная программная уязвимость или механизм защиты продукта не указан.";"";"Угроза заключается в возможности осуществления нарушителем деструктивного программного воздействия на виртуальные машины из виртуальной и (или) физической сети как с помощью стандартных (не виртуальных) сетевых технологий, так и с помощью сетевых технологий виртуализации.
Данная угроза обусловлена наличием у создаваемых виртуальных машин сетевых адресов и возможностью осуществления ими сетевого взаимодействия с другими субъектами.
Реализация данной угрозы возможна при условии наличия у нарушителя сведений о сетевом адресе виртуальной машины, а также текущей активности виртуальной машины на момент осуществления нарушителем деструктивного программного воздействия";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 80"
"УБИ.092";"Угроза несанкционированного удалённого внеполосного доступа к аппаратным средствам";"Информационная система, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Сценарий использует независимое от ОС аппаратное управление и включение/выключение оборудования.";"Сценарий использует независимое от ОС аппаратное управление и включение/выключение оборудования.";"";"Угроза заключается в возможности получения нарушителем привилегий управления системой путём использования удалённого внеполосного (по независимому вспомогательному каналу TCP/IP) доступа.
Данная угроза обусловлена невозможностью контроля за механизмом, реализующего функции удалённого доступа на аппаратном уровне, на уровне операционной системы, а также независимостью от состояния питания аппаратных устройств, т.к. данный механизм предусматривает процедуру удалённого включения/выключения аппаратных устройств.
Реализация данной угрозы возможна в условиях:
наличия в системе аппаратного обеспечения, поддерживающего технологию удалённого внеполосного доступа;
наличия подключения системы к сетям общего пользования (сети Интернет)";"Внешний нарушитель с высоким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 94"
"УБИ.099";"Угроза обнаружения хостов";"Сетевой узел, сетевое программное обеспечение, сетевой трафик";"Вне области анализа ПО";"Вне области ПО";"Сетевая инфраструктура";"";"Выявление работающих узлов описывает разведку вычислительной сети как инфраструктуры.";"Выявление работающих узлов описывает разведку вычислительной сети как инфраструктуры.";"";"Угроза заключается в возможности сканирования нарушителем вычислительной сети для выявления работающих сетевых узлов. 
Данная угроза связана со слабостями механизмов сетевого взаимодействия, предоставляющих клиентам сети открытую техническую информацию о сетевых узлах, а также с уязвимостями и ошибками конфигурирования средств межсетевого экранирования и фильтрации сетевого трафика, используемых в дискредитируемой системе.
Реализация данной угрозы возможна при условии наличия у нарушителя подключения к дискредитируемой вычислительной сети и специализированного программного обеспечения, реализующего функции анализа сетевого трафика";"Внешний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 101"
"УБИ.104";"Угроза определения топологии вычислительной сети";"Сетевой узел, сетевое программное обеспечение, сетевой трафик";"Вне области анализа ПО";"Вне области ПО";"Сетевая инфраструктура";"";"Цель сценария — установление топологии вычислительной сети, а не воздействие на программный продукт.";"Цель сценария — установление топологии вычислительной сети, а не воздействие на программный продукт.";"";"Угроза заключается в возможности определения нарушителем состояния сетевых узлов дискредитируемой системы (т.н. сканирование сети) для получения сведений о топологии дискредитируемой вычислительной сети, которые могут быть использованы в дальнейшем при попытках реализации других угроз.
Данная угроза связана со слабостями механизмов сетевого взаимодействия, предоставляющих клиентам сети открытую техническую информацию о сетевых узлах, а также с уязвимостями средств межсетевого экранирования (алгоритма работы и конфигурации правил фильтрации сетевого трафика).
Реализация данной угрозы возможна в случае наличия у нарушителя возможности подключения к исследуемой вычислительной сети и наличием специализированного программного обеспечения, реализующего функцию анализа сетевого трафика";"Внешний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 106"
"УБИ.106";"Угроза отказа в обслуживании системой хранения данных суперкомпьютера";"Система хранения данных суперкомпьютера";"Вне области анализа ПО";"Вне области ПО";"Грид-системы и суперкомпьютеры";"";"Сценарий описывает перегрузку общей параллельной файловой подсистемы суперкомпьютера.";"Сценарий описывает перегрузку общей параллельной файловой подсистемы суперкомпьютера.";"";"Угроза заключается в возможности значительного замедления работы терминальных сессий всех пользователей суперкомпьютера, вплоть до достижения всем суперкомпьютером состояния «отказ в обслуживании» при превышении максимально достижимой нагрузки на параллельную файловую систему суперкомпьютера.
Данная угроза обусловлена значительным повышением числа и объёма сохраняемых на накопитель данных для некоторых вычислительных задач.
Реализация данной угрозы возможна при условии интенсивного файлового ввода-вывода в кластерной файловой подсистеме суперкомпьютера, основанной на использовании параллельной файловой системы";"Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 108"
"УБИ.107";"Угроза отключения контрольных датчиков";"Системное программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Несмотря на объект «системное ПО», сценарий — отключение физических датчиков и связи с ними в АСУ ТП.";"Несмотря на объект «системное ПО», сценарий — отключение физических датчиков и связи с ними в АСУ ТП.";"";"Угроза заключается в возможности обеспечения нарушителем информационной изоляции системы безопасности путём прерывания канала связи с контрольными датчиками, следящими за параметрами состояния системы, или нарушения работы самих датчиков. При этом система перестанет реагировать как на инциденты безопасности (если отключённые датчики являлись частью системы безопасности, например, датчики движения), так и на другие типы инцидентов (например, при отключении датчиков пожарной сигнализации, повышения давления в гидроагрегатах и др.).
Данная угроза обусловлена слабостями мер защиты информации в автоматизированных системах управления технологическими процессами, а также наличием уязвимостей в программном обеспечении, реализующим данные меры.
Реализация данной угрозы возможна при условии получения доступа (физического или программного) к линиям связи системы безопасности с контрольными датчиками или к самим датчикам";"Внешний нарушитель с высоким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 109"
"УБИ.112";"Угроза передачи запрещённых команд на оборудование с числовым программным управлением";"Системное программное обеспечение, прикладное программное обеспечение";"Вне области анализа ПО";"Вне области ПО";"АСУ ТП и технологические процессы";"";"Сценарий относится к недопустимым перемещениям и повреждению оборудования с ЧПУ, а не самостоятельного ПО.";"Сценарий относится к недопустимым перемещениям и повреждению оборудования с ЧПУ, а не самостоятельного ПО.";"";"Угроза заключается в возможности повреждения нарушителем исполнительных механизмов, заготовки и (или) обрабатывающего инструмента оборудования с числовым программным управлением путём передачи на него команд, приводящих к перемещению обрабатывающего инструмента за допустимые пределы (т.е. команд, запрещённых для оборудования с числовым программным управлением).
Данная угроза обусловлена слабостями мер по защите оборудования с числовым программным управлением от выполнения запрещённых команд.
Реализация данной угрозы возможна при наличии у нарушителя привилегий на передачу команд на оборудование с числовым программным управлением или возможности изменения команд, передаваемых легальным пользователем";"Внутренний нарушитель с низким потенциалом";"0";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 114"
